Versioning,Question,Why / Details,Example / Notes,Priority,Answer,Notes,Open/Closed,,,,,,
Pagination,What semantics for limit/offset vs cursor? Are there max limits and defaults?,OpenAPI mentions limit/offset but no defaults/max,,High,"Default offset is 0, and can be set to any value. If offset is > than the number of results available, no results will be returned.
Default limit is 20, with a max value of 500. Offset can be used with limit to fetch results in excess of the 500 max, you can view offset as picking from what point to fetch results from.",,,,,,,,
Rate Limits,"Are there any API rate limits, soft/hard quotas, or burst rules?",Important for scheduler/backoff and retries,,High,"There are API Rate Limits, see info below: <add rate limits>",,,,,,,,
Response Shape,For 'results' items: confirm full set of top-level keys (id/component_id/component_category/values/details/etc.),Needed to flatten to CSV columns,,High,"Please clarify. In short, csv is not available except in UI.",,,,,,,,
Response Shape,Canonical example response for /results/timeseries/search (full schema + types)?,We have examples but need authoritative sample for all fields,,High,Sample data to be sent via email.,,,,,,,,
Retention,How long are results and alerts retained on the DMS? Can retention be configured per-site?,Storage planning and re-pull window,,High,"Results and Events are currently retained forever. In the future, this will be changed to be retained according to the projects requirements.
Note that profiles and images are cleaned up on a regular basis, if access to these are required. Typically, profiles are stored for ~6 months and images for ~1 month, though our contract may require different retention periods and this will need to be confirmed",,,,,,,,
Schema Completeness,Some OpenAPI 'content' objects are elided (?) ? provide full schemas or examples for those endpoints?,Many endpoints lack inline examples,,High,Please clarify. Need examples of end points.,,,,,,,,
Schemas Missing,Many schema fragments are '?' ?  request complete component schemas for result DTOs,Needed for code-gen,,High,Please clarify. Need examples.,,,,,,,,
Search DSL / semantics,"Are term searches case sensitive? Are string matches exact, wildcarded or tokenized?",Affects filter design and expected results,e.g. 'GuideTyre' vs 'guidetyre',High,"Search terms are indeed case sensitive, as they operate on exact matches",,,,,,,,
Search DSL / semantics,What are valid field names for component_queries and is it strictly arrays of strings or objects allowed?,We need to build query builder to match expected input,"Example: component_queries: { component_category: [""GuideTyre""] }",High,More time required for checking.,,,,,,,,
Search DSL / semantics,Provide full grammar/semantics for SearchFilterDTO (and meaning of and/or/not/is_null/contains/range/term). Which operators are supported per-field?,Search DSL is underspecified in docs; needed for correct queries,Examples for nested fields and arrays,High,"I will try to provide supporting documentation to help here, it is a complex field",,,,,,,,
Search semantics,What's the maximum for 'limit'? OpenAPI mentions 500?,Avoid accidental large / invalid requests,,High,"Correct, maximum limit is 500, for any results beyond 500, offset should be used (e.g. first 500 results is offset 0, next 500 is offset 500)",,,,,,,,
Search semantics,"Exact semantics for 'query': supported operators (term, range, and/or/not, contains, is_null)?",OpenAPI lists many but behavior needs examples,,High,"I will try to provide supporting documentation to help here, it is a complex field",,,,,,,,
Search semantics,What fields are searchable in timeseries/search and which are indexed for range vs term?,Important to craft performant queries,,High,"I thought this was in the spec, but I will provide the list. All fields are indexed, but some query formulations may result in less performant responses than others, even when the final filter is the same",,,,,,,,
Security,Are tokens scoped to site/subsystem (multi-tenant) or global? Explain scoping model.,Impacts how token is restricted and which data it can access.,e.g. scope=site:123:results.read,High,Tokens are scoped to projects,,,,,,,,
Support,Contact and SLA for API issues and request for schema fixes/clarifications?,Vendor support?  Point of contacts?,,High,Szymon is the owner.,,,,,,,,
Testing & Sandbox,Do you provide a sandbox or test credentials and sample dataset for integration tests?,We currently have no access - need to plan integration,,High,"We currently do not provide a sandbox, but the user accounts provided thus far are the read only dms_user accounts and should be safe to use",,,,,,,,
Throttled Fields,"Which fields are expensive on server side (total=true, deep nested includes)? Mark them to avoid frequent calls.",Performance,,High,"total=true can be expensive if the total amount of data is very large. It is recommended to be restrictive with the filtering. Includes are already done within our system, rather than being done dynamically.",,,,,,,,
Timestamps,Are timestamps milliseconds since epoch (UTC) and is timezone consistent?,OpenAPI uses milliseconds but confirm and request timezone policy,,High,Just need confirmation / further clarification of what is stated in the spec,,,,,,,,
User Roles,Define exact capabilities for dms_user/dms_admin (list of allowed endpoints/actions),Necessary for automation token roles,,High,"dms_user is a read only account that can access any read endpoint
dms_admin has all the permissions of dms_user, and in addition may edit vehicles, trains and parameter details.",,,,,,,,
Access Control,Can tokens be restricted to site/subsystem scope or only role-based?,Least privilege tokens may be site-scoped,,Med,"Only role based, though tokens are in practice scoped to sites due to the keycloak instance being hosted on the system directly.",,,,,,,,
API Discovery,Is there an API versioning policy? How new versions and  how possible breaking changes are communicated?,"Detect breaking changes,  make sure our poller doesn?t silently break.",,Med,"Every release of the API is versioned, even if the specification doesn't change. At this time, changes are purely additive and if there were a breaking change, it would be communicated through the semantic versioning used.",,,,,,,,
API Discovery & Versioning,How are breaking changes and OpenAPI updates communicated? Is there versioning in the URL or header?,Planning for upgrades and compatibility tests.,e.g. /v1/,Medium,"There is versioning available, but it is not currently in use. At this time, breaking changes will not occur as the changes are purely additive.",,,,,,,,
Atomicity,Is export atomic (consistent snapshot) for large queries or can results change during export?,Affects data consistency,,Med,"Export without upper bounds on time cannot be guaranteed to be atomic, as new data will shift previous data in the store.",,,,,,,,
Attachments & Files,"How are images/profiles referenced (paths, presigned URLs, auth needed)? Can we have file access? If yes how? Auth method?",/files endpoints exist - need access method,,Med,`/files endpoint accepts a filetype (profile/image) and a flake id (available in results).,"SFTP forwarder can be setup for exporting the images/profile to customer provided SFTP server. Frequency of export can be configured. Due to PSS requirement, we cannot provide incoming access to the product.",,,,,,,
Other access,"Is there any other access to the data, other than API",,"E.g. direct databasa access, providing database views (read-only)",Med,No,,,,,,,,
Audit,Does the API record access logs with token info and can we retrieve logs for troubleshooting?,Helps debugging and compliance,,Med,Our API logging system uses the syslog of the host VM for storage. Currently this is not externally accessible.,,,,,,,,
Backfilling,"For historical imports, can we request arbitrary time ranges or are there archive constraints?",Data migration planning,,Med,"For results, at this time, we do not clean out measurements, so any arbitrary time range can be used.",,,,,,,,
Binary / Files,Are file downloads protected by same JWT and are tokens required per-download?,Affects file fetch logic,,Med,All API endpoints require a JWT to validate authorization requirements.,,,,,,,,
Change Notifications,Is there a way to subscribe to schema changes or a changelog for OpenAPI updates?,Prevent silent breakages,,Med,This is not currently a feature of the DMS,,,,,,,,
CSV Export,"Is there a recommended canonical CSV export schema (server-side / results/export)?,/results/export/search exists - need sample headers",Need specification of the returned CSV formats and / or concrete examples,,Med,"As mentioned above, this endpoint is deprecated. If a CSV is required, it is recommended to make use of the UI ""Export CSV"" button",,,,,,,,
Data Volume,Max payload size per response (bytes) and any streaming alternative?,Large arrays may be truncated,,Med,"Don't really have a max payload. 
No. Alternative export options are abvailable as paid for options.",,,,,,,,
Export / CSV,"Does /results/export/search produce server-side CSV with exact columns? If so, what are headers?",Might save client-side processing,,Med,Server-side CSV export is deprecated,,,,,,,,
Field Mapping,Are there stable set of keys present in results or can they vary per component type?,"If variable, CSV must be tolerant",,Med,Need more clarifcation.,,,,,,,,
Field Mapping,"For component-specific parameters (e.g., GuideTyre specific keys) is there a features->schema mapping?",Needed to pre-define CSV columns per component_category,,Med,Need more clarifcation.,,,,,,,,
IDs & Keys,Are component_id and pass_pass_id globally unique or namespaced per site/subsystem?,Affects dedupe strategy,,Med,"Results already have a unique flake id assigned, but if you need more, a composite key of pass_pass_id, component_id and subsystem_id is recommended, in case the same component can be measured by multiple subsystems.",,,,,,,,
IP Allowlisting,"Is IP allowlisting used for production access? If so, provide ranges.",Deployment networking,,Med,"Yes, we do have IP whitelisting in appliance firewall and OS firewall. 
We have different ranges for different network, internal product management, TCM, PDB network. This can be updated to accomodate customer's network range for external access.
",,,,,,,,
Monitoring,"Are there monitoring / health endpoints and metrics we can scrape? (uptime, status, queue lengths)",Operational visibility,,Med,"I don't believe this is currently a feature, pass statistics and subsystem statistics can support on uptime",,,,,,,,
Nulls & Missing,How are missing fields represented (absent vs null vs empty)?,CSV needs consistent empty cell rules,,Med,"Could be absent, returned as null or even just empty.",,,,,,,,
Pagination,"Does 'total' require an extra expensive query, is it accurate in large datasets?",Affects performance; may need separate call,,Med,"We do not currently use total estimates, so the counts are always exact. It is a less expensive query than an actual data request, but it can sometimes be slow.",,,,,,,,
Rate Limits,Do they provide per-token or per-IP limits and returned headers for remaining allowance?,Enables adaptive throttling,,Med,Rate Limits are not per-token or per-IP at this time,,,,,,,,
Rate of Change,Do 'values' arrays represent time series ordered by timestamp and guaranteed monotonic?,CSV flattening depends on order,,Med,Need more clarifcation.,,,,,,,,
Search semantics,Are component_queries always arrays of strings or can they include objects/ids?,Clarify structure of component_queries,,Med,previously answered.,,,,,,,,
Security,"Are there required additional headers (Tenant-ID, Site-ID, X-Request-ID, or custom trace headers)?",Missing headers cause requests to fail or be routed incorrectly.,Example X-Tenant-ID: site_abc,Medium,Not at this time,,,,,,,,
Security Headers,"Any required headers beyond Authorization (e.g., Tenant-ID, X-Request-ID)?",Needed for routing/multitenancy and tracing,,Med,Not at this time,,,,,,,,
Sorting,Sort semantics: how to specify nested field sorts and stable sort behavior?,Use to page results safely,,Med,Sorts are applied in order,,,,,,,,
Throttling Policy,Does throttling apply to bulk export endpoints differently?,Large exports might be treated specially,,Med,No,,,,,,,,
Timestamps,Should saved filenames/timestamps use UTC or local timezone?,Consistency for cross-system correlation,,Med,"Unless your system is designed to operate outside your home country (like ours are), you can use local timezones.",,,,,,,,
Time-window queries,Does range filtering on pass_online_timestamp use inclusive/exclusive bounds? Confirm semantics.,Edge cases near boundary timestamps,,Med,Range filters have options for both,,,,,,,,
TLS,Minimum TLS version and cipher policy required by server?,Security and client compatibility,,Med,"v1.2 or v1.3, see image to right for cipher policy",,,,,,,,
Versioning,What's the versioning policy? URL versioning or header? How to track breaking changes?,Important for upgrade planning,,Med,"There is header versioning, but it is not currently in use",,,,,,,,
Webhooks / Push,Is there any push capability (webhook/stream) instead of polling?,Prefer push for low-latency,,Med,"We utilise a SignalR endpoint for notifications, but this is not all results.",,,,,,,,
Authentication,Is mutual TLS required for API endpoints or only Bearer JWT?,Affects TLS client setup and security,,Low,,,,,,,,,
Base URL / Env,"What is the canonical base URL, and are there staging/test endpoints?",Need target URL(s) for polling and testing,,Low,,,,,,,,,
Base URL / Env,Are there CORS or firewall rules affecting remote agents?,Needed for browser-based UIs or hosted apps,,Low,,,,,,,,,
Base URL / Env,"Is there an API gateway, load balancer or host header requirement?",May affect routing and headers,,Low,,,,,,,,,
Client Limits,Is max number of sort fields / filter clauses limited (OpenAPI mentions max 5 sort fields)?,Enforce request builder limits,,Low,,,,,,,,,
Compression,Is the API capable of gzip/deflate responses and do they respect Accept-Encoding?,Performance optimisation,,Low,,,,,,,,,
Concurrent Access,Can multiple clients concurrently write/export results? are there locks or transactions?,Concurrency handling for downloads,,Low,,,,,,,,,
Content-Type,Accept / Content-Type requirements and supported encodings (gzip)?,Enable compressed responses to save bandwidth,,Low,,,,,,,,,
Maintenance,Are there scheduled maintenance windows and notification channels or endpoint for status for any external system e.g. Keycloak that can affect us?,Avoid pulls during downtime,,Low,,,,,,,,,
Acceptance & sample data,Provide canonical example payloads for key endpoints (results timeseries search full response including values/details) in the docs.,We need authoritative examples for testing and CSV mapping,,High,Answere in a prewvious question,,,,,,,,
Arrays & nested (details),"Define structure of 'details' object (possible keys like threshold_value/comparison_operator), and which keys are guaranteed to exist.",Needed to extract classification info and CSV columns,,Med,Need more clarifcation.,,,,,,,,
Arrays & nested (values),"Define structure of 'values' array (fields, timestamp units, value types, quality flags). Example elements expected.",Needed to decide whether to flatten array columns or encode JSON cell,,Low,,,,,,,,,
Atomicity,"Is /results/export/search an atomic snapshot? If not, how to guarantee consistency for large exports?",Ensures exported CSV is consistent,,High,Results exports endpoint is being removed. It was not implemented.,,,,,,,,
Authentication,Is mutual TLS (mTLS) required in addition to JWT? If so how to provision client certs?,Alters client HTTPS configuration and deployment complexity,,Med,no mTLS,,,,,,,,
Backoff guidance,Provide recommended backoff/ retry headers or guidelines when API returns 429 or 5xx.,Prevents overwhelming the system under load,,Low,,,,,,,,,
Batching strategy,"For heavy datasets, recommend best practice for batching queries (time-window sizes, offset/limit usage) — do you have guidance?",Optimize pull performance,,High,There is no best practice for this.,,,,,,,,
Change notifications,"Is there a channel to be notified for API changes or release notes (email list, webhook)?",Prevents silent breakages,,Med,Will be covered in ECRs. We need to agree on how changes will be implemented from handover.,,,,,,,,
Character encoding,"Confirm JSON and CSV are UTF-8. Any special handling for CSV (delimiter, quoting, newline)?",Avoid import issues in Excel,,Low,,,,,,,,,
Classification & flags,Explain classification types and when result.classification is present and what details are included.,"e.g. classification_type: 'Alarm', details.threshold_value",,High,Looking into this. Will supply further details.,,,,,,,,
Client rate-limiting,Will Siemens issue different rate limits for integration partners vs local site clients?,Allows us to plan pulling cadence,,Med,No,,,,,,,,
Content negotiation,Does API support gzip/deflate responses and do we need to set Accept-Encoding? Are responses compressed for large exports?,Compression reduces bandwidth for heavy pulls,,Low,,,,,,,,,
Contracts & codegen,Can Siemens provide a machine-readable OpenAPI without elisions and with examples so we can auto-generate client models and validations?,Facilitates client SDK generation and reduces mistakes,,High,The one supplied should be machine readable.,Picture,,,,,,,
CSV export edge cases,"If some fields contain commas/newlines (e.g. details text), confirm CSV quoting rules and field escaping policy.",Ensures Excel imports correctly,,Med,Export end point will be removed from the example API.,,,,,,,,
CSV mapping,"Provide canonical column list per component_category for CSV export (fields to persist per result). If not available, give recommended default per GuideTyre.",User wants hardcoded headers; confirm list,,Low,,,,,,,,,
CSV specifics,"If we hardcode CSV headers as requested, which exact columns are mandatory vs optional per component_category? Provide authoritative list.",Needed to implement deterministic CSV writer,,High,Need more clarifcation.,,,,,,,,
CSV specifics,For array fields (values/details) confirm encoding policy: JSON-encode entire array into single CSV cell and which fields must be encoded.,User asked arrays as JSON cell — confirm,,Med,Need more clarifcation.,,,,,,,,
Data ownership & tenancy,Is data partitioned by organisation/site and how is multi-tenancy expressed in the API?,Data segregation & tenancy model,,Low,,,,,,,,,
Deduplication strategy,Which fields form a natural unique key for a result row (id or id + pass_online_timestamp)? Recommend primary key.,Used for dedupe when ingesting into our system,,High,Answere in a previous question,,,,,,,,
Duplication & ordering,Are results returned ordered by pass_online_timestamp when sort is used and are values arrays ordered by timestamp?,Assures CSV rows order and monotonicity,,Med,Other end points can be sorted in this way.,,,,,,,,
Endpoints behavior,Which endpoints are intended for search-only vs create/update vs push? There are many POST search endpoints — are POST used because payloads are complex?,Helps design idempotent poller and understand semantics of POST (safe vs unsafe),,Low,,,,,,,,,
Endpoints behavior,Are there any GET-based search alternatives (for simpler polling) or is POST /search the only supported way to query results?,POST search complicates caching and may be treated differently by intermediaries,,High,No,,,,,,,,
Error schema,Provide canonical error body schemas and examples for 4xx and 5xx (GenericErrorDTO vs ProblemDetails). Is HTTP 429 used for rate limiting?,Needed to implement robust retry and error handling,,Med,,,,,,,,,
Events vs Alerts vs Notifications,"Which data fields link alerts/events/notifications to results (id mapping), e.g. entity_id or pass ids? How to correlate?",Essential to join alerts to measurements,,Low,,,,,,,,,
Events vs Alerts vs Notifications,"Define differences and lifecycle: 'events', 'alerts', 'notifications'. Which endpoints create vs consume vs query each?",Docs show /alerts and /events and /notification_history — semantics unclear,,High,"Ignore alerts. Events are system health, notifications are a summariosed list of things which have occurred.",,,,,,,,
Example ambiguity,In the OpenAPI examples there are backtick fenced JSON fragments in descriptions (markdown) — confirm those are not literal content expected in the request body.,We previously found code-fence artifacts in JSON files,,Med,,,,,,,,,
Export endpoints,The export endpoint requires 'subsystem_type' parameter — is it required and what are allowed values?,Docs show required parameter; need allowed enum values,,Low,,,,,,,,,
Export endpoints,/results/export/search returns CSV server-side — what are exact headers and character encoding? Is authentication required for the export copy?,If server CSV provides exact header list we should use it instead of client-side flattening,,High,This will be removed.,,,,,,,,
Field units / types,"Document units for numeric fields (e.g., pass_avg_speed unit: km/h?). Which fields are floats vs ints vs strings?",Needed for data normalization and CSV column types,,Med,,,,,,,,,
File retention & lifecycle,How long are files and exported CSVs retained? Are there deletion policies?,Storage management and archival,,Low,,,,,,,,,
Files / attachments,Are large files (images/profiles) chunked or returned with Content-Length? Are Accept-Ranges supported?,Helps for resume/large downloads and network planning,,High,"Images and profiles are usually no bigger than 1.5 MB, so we don't implement chunking.",,,,,,,,
Files / attachments,/files/{file_type}/{file_id} download semantics: do those require the same JWT? Are downloads time-limited presigned URLs or proxied through API?,Affects how we implement file fetching and storage,,Med,,,,,,,,,
IDs semantics,"Are 'id', 'component_id', and 'pass_pass_id' globally unique and stable across reimports? Which should be primary key for dedupe?",Important to dedupe appended CSV rows,,Low,,,,,,,,,
Incremental backfill,"Is there a recommended approach for backfilling historic data (rate limits, large time windows)? Any archive endpoints?",Data migration planning,,High,Need more clarifcation.,,,,,,,,
Incremental sync,Is there a created/modified timestamp or sequence number to support incremental pulls (instead of full re-query)? Which field to use?,Reduces volume and simplifies sync,,Med,,,,,,,,,
Logging & audit,Does the DMS provide traceability/audit logs for API access and can we request logs for troubleshooting?,Needed for incident analysis,,Low,,,,,,,,,
Monitoring & health,Is there a health/metrics endpoint (Prometheus metrics or /health) we can poll to monitor availability?,Operational monitoring,,High,"No
System health can be monitored using the events endpoint (searching for open ""Critical"" or ""Error"" events), or by making requests to the subsystem endpoints as these endpoints include a field ""Ready To Measure"" that evaluates if there is an open downtime.",,,,,,,,
Nulls & missing fields,How are missing optional fields represented (absent vs null vs empty string)? How should CSV map them?,Ensures consistent CSV output handling,,Med,Answered previously.,,,,,,,,
OpenAPI completeness,"Many content/schema blocks in openapi.json are ellipses (""…""). Can you provide the complete machine-readable OpenAPI spec including all schema details and examples?",We need full schemas for code-gen and mapping to CSV fields,,Low,,,,,,,,,
OpenAPI correctness,securitySchemes uses type=apiKey named 'JWT Authorization' — is this intentional? Should use http bearer scheme.,This affects client generator behaviour and UI docs. Precedent: use type: http scheme: bearer bearerFormat: JWT,,High,Not currently an option,,,,,,,,
Operational constraints,"Are there IP allowlisting requirements, firewall rules or VPN access needed to access the DMS? Provide network details.",We must ensure connectivity from our environment,,Med,Answered previously.,,,,,,,,
Pagination semantics,Does the meta.total reflect the total count across the full dataset or the request-scoped total? Is total expensive to compute?,Important for planning queries (avoid total=true if expensive),,Low,,,,,,,,,
Pagination semantics,"Are offsets stable when data changes (e.g., new results inserted) or do you supply stable cursors? Any cursor-based pagination available?",Offset pagination can result in duplicates/misses for incremental pulls,,High,Answered previously. Cursor based pagination not currently available.,,,,,,,,
Performance / large results,"What is max response size (bytes) and recommended strategy for very large results (chunked streaming, export endpoint)?",We may need to use export endpoint or stream,,Med,,,,,,,,,
Rate limits,Are rate limits enforced per-token or per-IP? Provide header names for remaining/quota/reset.,For backoff and scheduler,,Low,,,,,,,,,
Rate-of-change flags,"Are there 'status', 'confidence', or quality flags for measurements? Provide possible values and semantics.",Important to filter poor-quality data,,High,Yes. These are included in supplied spec.,,,,,,,,
Response shape,Provide authoritative example response for /results/timeseries/search including full 'results' item schema for GuideTyre and nested values/details.,We need exact keys to flatten to CSV and create typed columns,,Med,,,,,,,,,
Response shape,"Which top-level keys in each result are scalar and which are complex? Which must be encoded as JSON cells in CSV (e.g., values, details)?",User requested CSV flattening; need canonical list per component category,,Low,,,,,,,,,
Result fields variability,Do result objects have a fixed schema per component_category (GuideTyre vs Wheel) or can top-level keys vary arbitrarily?,Determines CSV header strategy (hardcoded vs dynamic),,High,Answered previously.,,,,,,,,
Result uniqueness,"Can the same result id reappear across different queries (reprocessed/updated)? If results can be updated, provide last_modified or version field.",If updates occur we need upsert logic instead of append-only,,Med,,,,,,,,,
Retention & GDPR,Are there any PII/retention/GDPR considerations for measurement payloads?,Compliance requirements,,Low,,,,,,,,,
Retry policy,"Which HTTP error codes are transient and safe to retry, and recommended backoff strategy?","e.g. 429, 502, 503, 504 - require exponential backoff",,High,"We do not implement a back off strategy. For 429, we have a request limit in order of minutes. 502-504 are server errors.",,,,,,,,
Roles & RBAC,"List exact capabilities per role (dms_user, dms_admin). Which endpoints or methods are restricted to admin?",Security & least privilege planning,,Med,,,,,,,,,
Sample JWT,Provide a non-sensitive sample JWT (not a real key) that decodes to show claims for expected tokens so we can mock verification.,Allows offline dev and unit tests,,Low,,,,,,,,,
Schema changes,How frequent is the schema for results modified? Any changelog or schema registry? Any backward-compatible rules?,Helps automation and data contract enforcement,,High,Schema is stable except for deprecated end points which will be removed.,,,,,,,,
Schema consistency,"There are mixed naming conventions (snake_case, camelCase, @Definition.*). Which canonical naming convention should clients use?",Prevents query mismatches,,Med,,,,,,,,,
Search DSL / semantics,How to express nested path names in queries (dot notation vs underscore vs @Definition.k)? The docs reference multiple styles.,Inconsistent examples: '@Definition.component_category' vs 'component_category' vs 'details_threshold_value',,Low,,,,,,,,,
Search DSL / semantics,What is the maximum allowed 'limit' and do larger values impact server performance? Is 500 enforced server-side?,Docs mention default max 500 — confirm hard limit and error codes,,High,500 is enforced. Larger values definitely impact server performance.,,,,,,,,
Search rate/Cost,Does total=true cause an expensive server-side count? Should we avoid total for frequent polling?,"If expensive, we will not set total in normal polls",,Med,,,,,,,,,
Security,"Does the API perform role checks via claim names (e.g., roles in 'realm_access') and which role strings are used?",We must include correct roles or group membership for endpoint access,,Low,,,,,,,,,
SLA for schema fixes,"If we find schema bugs, how quickly will Siemens supply corrected OpenAPI and patched API?",Project timeline and risk mitigation,,High,This will vary depending on the scale of the issue. Will depend also on what change orders are in place.,,,,,,,,
Sorting semantics,Sort fields mention 'max 5 fields' — confirm behaviour for nested fields and stability of sort for pagination.,"To perform deterministic paging, sort must be stable. e.g., '-pass_online_timestamp'",,Med,,,,,,,,,
Streaming & webhooks,"Is there a push alternative (webhooks, message queue, streaming API like SSE or MQTT) for near-real-time notifications?",Polling is inefficient for low-latency use cases,,Low,,,,,,,,,
